defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	anatomical_space	anatomical_space_label	defined_class_definition	exact_syn	depicted_by	image_comment	def_dbxref	term_id	dbxref	has_obo_namespace
PLANA:0000141	dorsal region of the whole animal	PLANA:0000136	whole animal	BSPO:0000079	dorsal region	Three dimensional compartment along the dorsoventral axis that is above the anteroposterior axis, containing the eyes.		http://purl.obolibrary.org/obo/plana/images/dorsalregionofthewholeanimal.png	Illustration of the dorsal region of the whole animal (in green).		PLANA:0000141		Planarian_Anatomy
PLANA:0000054	dorsal region of the epidermis	PLANA:0000034	epidermis	BSPO:0000079	dorsal region	Single cell layer of dorsal, post-mitotic, epithelial cells containing the dorsal stripe.	dorsal epithelium	http://purl.obolibrary.org/obo/plana/images/dorsalepidermis.png	Image is an electron micrograph depicting the dorsal epidermis (arrowheads). Also visible in this micrograph, immediately deep to the epidermis is the basal lamina and beneath that is a photoreceptor. Scale bar is 10 um.	PMID:22479207|PMID:19048075|PMID:26457503|PMID:17942485|ISBN:9780070316607|PMID:20844018|PMID:27612382|PMID:20599901|PMID:19852954|PMID:28292427|PMID:22385657	PLANA:0000054		Planarian_Anatomy
PLANA:0000032	dorsal midline	PLANA:0000030	midline	BSPO:0000079	dorsal region	The median line/plane of bilateral symmetry along the anteroposterior axis on the dorsal surface of the animal.		http://purl.obolibrary.org/obo/plana/images/dorsalmidline.png	Illustration of the dorsal midline (in green).		PLANA:0000032		Planarian_Anatomy
PLANA:0000038	ventral midline	PLANA:0000030	midline	BSPO:0000084	ventral region	The median line/ plane of bilateral symmetry along the anteroposterior axis on the ventral surface of the animal.		http://purl.obolibrary.org/obo/plana/images/ventralmidline.png	Illustration of the ventral midline (in green).		PLANA:0000038		Planarian_Anatomy
PLANA:0000142	posterior region of the whole animal	PLANA:0000136	whole animal	BSPO:0000090	posterior region	Three dimensional compartment along the anteroposterior axis that is closer to the tail rather than the head, from the anterior boundary of the pharyngeal pouch to the tip of the tail.	posterior compartment of the whole animal	http://purl.obolibrary.org/obo/plana/images/posteriorcompartmentofthewholeanimal.png	Illustration of the posterior compartement of the whole animal (in green). 		PLANA:0000142		Planarian_Anatomy
PLANA:0000143	ventral region of the whole animal	PLANA:0000136	whole animal	BSPO:0000084	ventral region	Compartment along the dorsoventral axis that is below the anteroposterior axis.		http://purl.obolibrary.org/obo/plana/images/ventralregionofthewholeanimal.png	Illustration of the ventral region of the whole animal (in green).		PLANA:0000143		Planarian_Anatomy
PLANA:0000096	ventral epidermis	PLANA:0000034	epidermis	BSPO:0000084	ventral region	Single cell layer of ventral, post-mitotic, heavily ciliated epithelial cells	cilated ventral epidermis|ciliated ventral epithelium|ventral epithelia|ventral epithelium | ventral epidermin			PMID:25017721|PMID:26912790|PMID:23903188|PMID:29100657|PMID:26457503|PMID:30962434|PMID:23144623|PMID:20599901|ISBN:9780070316607|PMID:28292427|PMID:19852954|PMID:21282632|PMID:15866156|PMID:27068018|PMID:24523458|PMID:30383829|PMID:17942485	PLANA:0000096		Planarian_Anatomy
PLANA:0000043	dorsal ventral margin of the whole animal	PLANA:0000136	whole animal	BSPO:0000094	dorsal/ventral compartment boundary	Region along the edge of the animal where the dorsal and ventral surfaces meet.	dorsoventral margin | edge | D/V boundary|DV border|DV boundary|DV domain|DV margin|body edge|body margin|body periphery|dorsal ventral boundary|dorsal-ventral boundary	http://purl.obolibrary.org/obo/plana/images/dorsalventralmarginofthewholeanimal.png		PMID:22549959|PMID:30485821|PMID:21458439|PMID:22696458|PMID:29674432|PMID:26457503|PMID:20865784|PMID:19174194|PMID:29357350|ISBN:9780070316607|PMID:29674431|PMID:24415944|PMID:28216315|PMID:30399335|PMID:21295481|PMID:17905225|PMID:21295483	PLANA:0000043		Planarian_Anatomy
PLANA:0003000	dorsal region of tail	PLANA:0000421	tail	BSPO:0000079	dorsal region	The dorsal region of the tail.		http://purl.obolibrary.org/obo/plana/images/dorsalregionoftail.png	Illustration of the dorsal region of the tail (in green).		PLANA:0003000		Planarian_Anatomy
PLANA:0003001	lateral region of the whole animal	PLANA:0000136	whole animal	BSPO:0000082	lateral region	The lateral region of the medio-lateral axis of the whole animal.							Planarian_Anatomy
