defined_class	defined_class_name	new_entity	new_entity_label	parent_entity	parent_entity_label	exact_syn	defined_class_definition	dbxref	def_dbxref	depictedBy	depicted_by	image_comment	comment	has_obo_namespace	created_by	part_of	part_of_label	contained_in	contained_in_label	develops_from	develops_from_label	existence_starts_during_or_after	existence_starts_during_or_after_label	existence_ends_during_or_before	existence_ends_during_or_before_label	existence_overlaps	existence_overlaps_label	immediately_deep_to	immediately_deep_to_label	immediately_superficial_to	immediately_superficial_to_label	adjacent_to	adjacent_to_label	anterior_to	anterior_to_label	posterior_to	posterior_to_label	participates_in	participates_in_label	produced_by	produced_by_label	produces_this	produces_this_label	specific_to	specific_to_label	results_in 	results_ label 
PLANA:0000012	neural progenitor	PLANA:0000012	neural progenitor				Neoblasts and their differentiating daughters implicated in maintenance and regeneration of different tissues in the nervous system.			Don't Edit here. Edit in progenitorCellTypes.tsv tab				Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4711																																
PLANA:0000013	visceral musculature	PLANA:0000013	visceral musculature	PLANA:0000431	organ	visceral muscle	Musculature surrounding internal organs of the body.	PMID:26904543|PMID:30471994						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4955	PLANA:0000428	musculature system																														
PLANA:0000014	zeta neoblast	PLANA:0000014	zeta neoblast	PLANA:0000033|PLANA:0000429	epidermal progenitor cell|neoblast	zeta|zeta class|zeta class neoblast|zeta-class neoblast|zeta-neoblast	An abundant neoblast subclass consisting of p53+, zfp1+ progenitors required for maintenance and regeneration of epidermal cell type(s).	PMID:25017721|PMID:25956527|PMID:26457503|PMID:26651295|PMID:27013241|PMID:27150006|PMID:27542689|PMID:28292427|PMID:28757112|PMID:28807897|PMID:29158443|PMID:29557542|PMID:29674431|PMID:29674432|PMID:29906446						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4970	PLANA:0004529	integumental system	PLANA:0000141|PLANA:0004527|PLANA:0000420|PLANA:0000140|PLANA:0000418|PLANA:0000142|PLANA:0000143|PLANA:0000421|PLANA:0000419	dorsal region|copulatory region|parapharyngeal region|anterior region|head|posterior region|ventral region|tail|prepharyngeal region	PLANA:0004517	blastomere	PLANA:0000005	Stage 5			PLANA:0004504|PLANA:0000008|PLANA:0000214|PLANA:0004503|PLANA:0000007|PLANA:0000005|PLANA:0000006	asexual adult|Stage 8|juvenile|adult hermaphrodite|Stage 7|Stage 5|Stage 6																				
PLANA:0000015	non ciliated epithelial cell	PLANA:0000015	non ciliated epithelial cell	PLANA:0000100	epithelial cell		An epithelial cell lacking cilia.							Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4718																																
PLANA:0000016	pharynx	PLANA:0000016	pharynx	PLANA:0000431	organ	definitive pharynx	A plicate and protrusible organ that is the sole point of entry and exit for the Triclad gut. It contains epithelial, muscular, secretory and neuronal cell types.	ISBN:9780070316607|OCLC:16809160|PMID:15866156|PMID:16033796|PMID:16311336|PMID:16890156|PMID:17251262|PMID:17376870|PMID:17390146|PMID:17670787|PMID:17905225|PMID:17942485|PMID:18063755|PMID:18063757|PMID:18202849|PMID:18287199|PMID:18456843|PMID:18786419|PMID:19048075|PMID:19174194|PMID:19211673|PMID:19247960|PMID:19766622|PMID:19852954|PMID:19933103|PMID:20215344|PMID:20223763|PMID:20422023|PMID:20511647|PMID:20599901|PMID:20707997|PMID:20865784|PMID:20967238|PMID:21179478|PMID:21282632|PMID:21295483|PMID:21356107|PMID:21458439|PMID:21664348|PMID:21747960|PMID:21806978|PMID:21828097|PMID:21852957|PMID:21894189|PMID:21937596|PMID:22125640|PMID:22339734|PMID:22371573|PMID:22385657|PMID:22411224|PMID:22439894|PMID:22451003|PMID:22543868|PMID:22884275|PMID:23079596|PMID:23123964|PMID:23250205|PMID:23297191|PMID:23318635|PMID:23405188|PMID:23629965|PMID:23652002|PMID:23954785|PMID:24040508|PMID:24063805|PMID:24120894|PMID:24131630|PMID:24173799|PMID:24238224|PMID:24704339|PMID:24737865|PMID:24922054|PMID:25017721|PMID:25254346|PMID:25356635|PMID:25558068|PMID:25725068|PMID:25956527|PMID:26062938|PMID:26114597|PMID:26457503|PMID:26459857|PMID:26525673|PMID:26711341|PMID:27034770|PMID:27063937|PMID:27074666|PMID:27122174|PMID:27150006|PMID:27163480|PMID:27240733|PMID:27441386|PMID:27501047|PMID:27551436|PMID:27612382|PMID:27612384|PMID:27654173|PMID:28072387|PMID:28126842|PMID:28171748|PMID:28245923|PMID:28287248|PMID:28292427|PMID:28434803|PMID:28461239|PMID:28495872|PMID:28686611|PMID:28807897|PMID:28893948|PMID:29291981|PMID:29674431|PMID:29906446|PMID:30194301|PMID:30237141|PMID:30282036|PMID:30383829|PMID:30399335|PMID:30471994|PMID:30485821|PMID:30729158|PMID:30962434|https://doi.org/10.1101/279364						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4766	PLANA:0000049	digestive system	PLANA:0000420|PLANA:0000142	parapharyngeal region|posterior region			PLANA:0000005	Stage 5			PLANA:0004503|PLANA:0000006|PLANA:0000005|PLANA:0000008|PLANA:0000007|PLANA:0004504|PLANA:0000214	adult hermaphrodite|Stage 6|Stage 5|Stage 8|Stage 7|asexual adult|juvenile																				
PLANA:0000017	photoreceptor neuron	PLANA:0000017	photoreceptor neuron	PLANA:0000099	neuron	PRN|neuronal photoreceptive cell|optical neuron|photoreceptive neuron|photoreceptor cell|photosensitive cell|visual neuron	Bipolar photoreceptor neurons with dendritic projections into the optic cup and axons that innervate the underlying brain.	ISBN:9780070316607|PMID:16033796|PMID:17251262|PMID:17390146|PMID:17553481|PMID:17905225|PMID:17942485|PMID:18202849|PMID:19048075|PMID:20967238|PMID:21282632|PMID:21852957|PMID:22339734|PMID:22411224|PMID:22427692|PMID:22445864|PMID:22549959|PMID:22884275|PMID:23250205|PMID:23318641|PMID:24063805|PMID:24922054|PMID:25254346|PMID:25356635|PMID:25493551|PMID:25772472|PMID:26017970|PMID:26618653|PMID:27068018|PMID:27606067|PMID:27612384|PMID:27800171|PMID:28137894|PMID:28216315|PMID:28245923|PMID:28495872|PMID:28976975|PMID:29547123|PMID:29674431|PMID:29674432|PMID:30143032|PMID:30399335|PMID:30471994|PMID:30485821						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4796	PLANA:0000036	eye	PLANA:0000418|PLANA:0000140|PLANA:0000141	head|anterior region|dorsal region	PLANA:0000095	trail cell	PLANA:0000007	Stage 7			PLANA:0000214|PLANA:0004504|PLANA:0000007|PLANA:0004503|PLANA:0000008	juvenile|asexual adult|Stage 7|adult hermaphrodite|Stage 8																				
PLANA:0000018	Category 4 cell	PLANA:0000018	Category 4 cell	PLANA:0000033|PLANA:0000015|PLANA:0002032|PLANA:0002095	epidermal progenitor cell|non ciliated epithelial cell |epidermal cell | somatic cell		Post-mitotic, mesenchymally and epidermally located progenitors downstream of the Category 3 cells.	PMID:18786419|PMID:22439894|PMID:25017721|PMID:26457503|PMID:28072387						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4464	PLANA:0000096|PLANA:0000054|PLANA:0002063	ventral epidermis|dorsal epidermis|non-ciliated epidermis	PLANA:0000421|PLANA:0000419|PLANA:0000141|PLANA:0004527|PLANA:0000418|PLANA:0000143|PLANA:0000142|PLANA:0000140|PLANA:0000420	tail|prepharyngeal region|dorsal region|copulatory region|head|ventral region|posterior region|anterior region|parapharyngeal region	PLANA:0000035	Category 3 cell	PLANA:0000005	Stage 5			PLANA:0000006|PLANA:0000005|PLANA:0000214|PLANA:0000008|PLANA:0004503|PLANA:0004504|PLANA:0000007	Stage 6|Stage 5|juvenile|Stage 8|adult hermaphrodite|asexual adult|Stage 7																				
PLANA:0000019	muscle progenitor cell	PLANA:0000019	muscle progenitor cell	PLANA:0000120	progenitor cell		Progenitor neoblasts implicated in the maintenance and regeneration of muscle fibers.	PMID:25017721|PMID:29674431|PMID:29674432|PMID:30471994						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4703	PLANA:0000428	musculature system																														
PLANA:0000020	protonephridia	PLANA:0000020	protonephridia	PLANA:0000431	organ	excretory organ|nephridia|osmoregulatory duct|protonephridial tubule	Excretory organs consisting of flame cells, proximal tubules, and distal tubules connected to a mesenchymal collecting duct.	ISBN:9780070316607|OCLC:16809160|PMID:19852954|PMID:19933103|PMID:21828097|PMID:21937596|PMID:22479207|PMID:23318635|PMID:23318641|PMID:23954785|PMID:24063805|PMID:24523458|PMID:24737865|PMID:24992682|PMID:25017721|PMID:25254346|PMID:26057828|PMID:26457503|PMID:26651295|PMID:26711341|PMID:27068018|PMID:27150006|PMID:27501047|PMID:27551436|PMID:27612384|PMID:28245923|PMID:28292427|PMID:28807897|PMID:29100657|PMID:29158443|PMID:29674431|PMID:29674432			http://purl.obolibrary.org/obo/plana/images/protonephridia.png	Depicted by field contains a whole-mount acetylated tubulin (AcTub) staining. Scale bars: 500 um. Inset to right shows depth-coded projection of AcTub staining. Superficial structures are in blue and deeper structures are in red. Scale bars: 50 um		Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4836	PLANA:0000088	renal system	PLANA:0000421|PLANA:0000418|PLANA:0000420|PLANA:0000140|PLANA:0000419|PLANA:0004527|PLANA:0000142|PLANA:0000141	tail|head|parapharyngeal region|anterior region|prepharyngeal region|copulatory region|posterior region|dorsal region	PLANA:0000011	protonephridial progenitor cell					PLANA:0000214|PLANA:0000006|PLANA:0004503|PLANA:0000007|PLANA:0000008|PLANA:0004504	juvenile|Stage 6|adult hermaphrodite|Stage 7|Stage 8|asexual adult																				
PLANA:0000021	biotype	PLANA:0000021	biotype	owl:Thing	owl:Thing		Organisms sharing a specified genotype or karyotype.							Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4449																																
PLANA:0000022	Category 5 cell	PLANA:0000022	Category 5 cell	PLANA:0000106 | PLANA:0002032 |PLANA:0002095	ciliated epithelial cell | epidermal cell | somatic cell		Post-mitotic, ciliated epidermal cells.	PMID:25017721|PMID:28072387						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4465	PLANA:0000096|PLANA:0000054	ventral epidermis|dorsal epidermis	PLANA:0000140|PLANA:0004527|PLANA:0000419|PLANA:0000421|PLANA:0000143|PLANA:0000142|PLANA:0000418|PLANA:0000141|PLANA:0000420	anterior region|copulatory region|prepharyngeal region|tail|ventral region|posterior region|head|dorsal region|parapharyngeal region	PLANA:0000018	Category 4 cell	PLANA:0000006	Stage 6			PLANA:0000008|PLANA:0000006|PLANA:0000007|PLANA:0004503|PLANA:0004504|PLANA:0000214	Stage 8|Stage 6|Stage 7|adult hermaphrodite|asexual adult|juvenile																				
PLANA:0000023	embryonic pharynx	PLANA:0000023	embryonic pharynx	PLANA:0002120	extraembryonic organ	temporary embryonic pharynx	An innervated, muscular pump that ingests yolk cells into the gut cavity. The embryonic pharynx is an extraembryonic tissue that forms during Stage 2, functions during Stages 3-5, and degenerates during Stages 6-7.	ISBN:9780070316607|PMID:28072387			http://purl.obolibrary.org/obo/plana/images/temporaryembryonicpharynx.gif	Depicted by field contains hematoxylin and eosin staining section of a stage 5 embryo that zooms in on the embryonic pharynx.		Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4552	PLANA:0000058	embryonic digestive system	PLANA:0000076	oral hemisphere	PLANA:0004517	blastomere	PLANA:0000002	Stage 2	PLANA:0000006	Stage 6	PLANA:0000002|PLANA:0000003|PLANA:0000006|PLANA:0000004|PLANA:0000005	Stage 2|Stage 3|Stage 6|Stage 4|Stage 5																	PLANA:0000116|PLANA:0000027	embryo|Smed sexual biotype		
PLANA:0000024	Smed asexual biotype	PLANA:0000024	Smed asexual biotype	PLANA:0000021	biotype	asexual|asexual adult|asexual biotype	Asexual animal strains that reproduce solely through fission followed by whole body regeneration. Asexual Smed are stable diploids that harbor a chromosome translocation, making them karyotypically distinct from sexual Smed.	PMID:11972158|PMID:28812561			http://purl.obolibrary.org/obo/plana/images/smedasexualbiotype.png	Depicted by field contains light micrscope image of asexual and sexual biotypes of Schmidtea meditteranea with their respective karyotypes. Note that the asexual bioptype has a chromosome inversion compared to the sexual.		Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4880																																
PLANA:0000025	nervous system	PLANA:0000025	nervous system	PLANA:0000114	anatomical system	nerve system	The nervous system is an organ system containing predominantly neuron and glial cells. In bilaterally symmetrical organisms, it is arranged in a network of tree-like structures connected to a central body. The main functions of the nervous system are to regulate and control body functions, and to receive sensory input, process this information, and generate behavior [CUMBO].	ISBN:9780070316607|PMID:16033796|PMID:16311336|PMID:17251262|PMID:18202849|PMID:19048075|PMID:19211673|PMID:19247960|PMID:20223763|PMID:20707997|PMID:20967238|PMID:21806978|PMID:22339734|PMID:22427692|PMID:22445864|PMID:22549959|PMID:22696458|PMID:23079596|PMID:23250205|PMID:23297191|PMID:23318641|PMID:23903188|PMID:24131630|PMID:24173799|PMID:24737865|PMID:24950970|PMID:25254346|PMID:25278423|PMID:25725068|PMID:26062938|PMID:26114597|PMID:26556349|PMID:27013241|PMID:27068018|PMID:27163480|PMID:27501047|PMID:27523733|PMID:27551436|PMID:27612384|PMID:27864883|PMID:28292427|PMID:29357350|PMID:29557542|PMID:29674431|PMID:30399335|UBERON:0001016						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4709																																
PLANA:0000026	gut	PLANA:0000026	gut	PLANA:0000431	organ	adult gut|blind gut|digestive tract|gastrovascular digestive tract|gastrovascular tract|gut|intestinal tract|intestine|three-branched gut|triclad gut|definitive gut	The planarian triclad gut contains a central anterior gut branch connected to two posterior gut branches arranged around the pharynx. Secondary gut branches extend laterally from the primary gut branches, while tertiary gut branches extend from the secondary branches. Food and waste enter and exit the gut through the pharynx.	ISBN:9780070316607|PMID:17553481|PMID:17942485|PMID:18063757|PMID:18287199|PMID:19174194|PMID:19247960|PMID:19933103|PMID:20707997|PMID:20865784|PMID:20967238|PMID:21179478|PMID:21282632|PMID:21356107|PMID:21458439|PMID:21566185|PMID:21566195|PMID:21664348|PMID:21806978|PMID:21828097|PMID:22411224|PMID:22439894|PMID:22451003|PMID:22899852|PMID:23079596|PMID:23235145|PMID:23250205|PMID:23318635|PMID:23318641|PMID:23405188|PMID:23903188|PMID:23954785|PMID:24040508|PMID:24063805|PMID:24120894|PMID:24173799|PMID:24238224|PMID:24415944|PMID:24737865|PMID:24950970|PMID:24992682|PMID:25017721|PMID:25254346|PMID:25356635|PMID:25558068|PMID:25956527|PMID:26062938|PMID:26114597|PMID:26457503|PMID:26556349|PMID:26651295|PMID:27034770|PMID:27063937|PMID:27074666|PMID:27122174|PMID:27150006|PMID:27163480|PMID:27240733|PMID:27441386|PMID:27501047|PMID:27542689|PMID:27551436|PMID:27612382|PMID:27612384|PMID:27864883|PMID:28072387|PMID:28216315|PMID:28245923|PMID:28287248|PMID:28292427|PMID:28461239|PMID:28686611|PMID:28807897|PMID:29100657|PMID:29158443|PMID:29547123|PMID:29674431|PMID:29674432|PMID:29906446|PMID:30143032|PMID:30194301|PMID:30282036|PMID:30297872|PMID:30383829|PMID:30471994|PMID:30962434|https://doi.org/10.1101/279364						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4632	PLANA:0000049	digestive system	PLANA:0000419|PLANA:0000420|PLANA:0000140|PLANA:0000143|PLANA:0000418|PLANA:0000142|PLANA:0000421|PLANA:0000141|PLANA:0004527	prepharyngeal region|parapharyngeal region|anterior region|ventral region|head|posterior region|tail|dorsal region|copulatory region	PLANA:0000039	gamma neoblast	PLANA:0000005	Stage 5			PLANA:0000007|PLANA:0004503|PLANA:0004504|PLANA:0000008|PLANA:0000006|PLANA:0000214|PLANA:0000005	Stage 7|adult hermaphrodite|asexual adult|Stage 8|Stage 6|juvenile|Stage 5																				
PLANA:0000027	Smed sexual biotype	PLANA:0000027	Smed sexual biotype	PLANA:0000021	biotype	hermaphroditic biotype|sexual|sexual hermaphrodite	Strains of cross-fertilizing hemaphrodites that reproduce sexually and do not undergo fission. After mating, each parent lays an egg capsule containing one or more embryos. Sexual Smed are stable diploids.	PMID:11972158|PMID:28812561			http://purl.obolibrary.org/obo/plana/images/smedsexualbiotype.png	Depicted by field contains light micrscope image of asexual and sexual biotypes of Schmidtea meditteranea with their respective karyotypes. Note that the asexual bioptype has a chromosome inversion compared to the sexual.		Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4881																																
PLANA:0000028	Category 2 cell	PLANA:0000028	Category 2 cell	PLANA:0000033 | PLANA:0002095	epidermal progenitor cell | somatic cell	Category 2 gene expressing cell|NB.21.11e expressing cell|Smed-NB.21.11e+ cell|early division progeny|early epidermal progenitor|early neoblast progeny|early post-mitotic progeny|early progeny|prog-1+ epidermal progenitor cell	Post-mitotic, mesenchymally located epidermal progenitors downstream of the zeta neoblasts.	PMID:18786419|PMID:20040488|PMID:21894189|PMID:22385657|PMID:22427692|PMID:22439894|PMID:22899852|PMID:23318635|PMID:23629965|PMID:24063805|PMID:24173799|PMID:24367277|PMID:25017721|PMID:26114597|PMID:26651295|PMID:27013241|PMID:27068018|PMID:27542689|PMID:28072387|PMID:29674431						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4462	PLANA:0004529	integumental system	PLANA:0000143|PLANA:0000420|PLANA:0004527|PLANA:0000421|PLANA:0000418|PLANA:0000140|PLANA:0000141|PLANA:0000142|PLANA:0000419	ventral region|parapharyngeal region|copulatory region|tail|head|anterior region|dorsal region|posterior region|prepharyngeal region	PLANA:0000014	zeta neoblast	PLANA:0000005	Stage 5			PLANA:0004504|PLANA:0000008|PLANA:0004503|PLANA:0000007|PLANA:0000005|PLANA:0000006|PLANA:0000214	asexual adult|Stage 8|adult hermaphrodite|Stage 7|Stage 5|Stage 6|juvenile																				
PLANA:0000029	primitive ectoderm	PLANA:0000029	primitive ectoderm	PLANA:0002120	extraembryonic organ		A single cell layer of extraembryonic, post-mitotic ectodermal cells bounding the embryo. The primitive ectoderm forms during Stage 2 and is thought to degenerate as the definitive epidermis forms during Stages 5-7.	OCLC:20423827|OCLC:464776945|OCLC:82522822|PMID:28072387|https://github.com/obophenotype/planaria-ontology/blob/master/metadata/planarefs/planaref-0000001.md						Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4822			PLANA:0000041|PLANA:0000076	aboral hemisphere|oral hemisphere	PLANA:0004517	blastomere	PLANA:0000002	Stage 2			PLANA:0000005|PLANA:0000003|PLANA:0000004|PLANA:0000002	Stage 5|Stage 3|Stage 4|Stage 2																	PLANA:0000027|PLANA:0000116	Smed sexual biotype|embryo		
PLANA:0000030	midline	PLANA:0000030	midline	PLANA:0000102	anatomical region		The median line/ plane of bilateral symmetry along the anteroposterior axis.							Planarian_Anatomy	https://orcid.org/0000-0003-2569-1939 | https://orcid.org/0000-0002-7535-4696											PLANA:0000214|PLANA:0004504|PLANA:0000008|PLANA:0004503|PLANA:0000007	juvenile|asexual adult|Stage 8|adult hermaphrodite|Stage 7																				
