term,label,definition
http://purl.obolibrary.org/obo/PLANA_0000487,acidophilic gland cell,"One of two distinct histochemical classes of gland cells, these can be found throughout the body but primarily form clusters of subepidermal marginal adhesive glands along the dorsoventral border of the animal."
http://purl.obolibrary.org/obo/RO_0002430,involved in negative regulation of,c involved in regulation of p if c is involved in some p' and p' negatively regulates some p
http://purl.obolibrary.org/obo/PLANA_0003249,diplotene stage spermatocyte,spermatocyte undergoing diplotene
http://purl.obolibrary.org/obo/PLANA_0000142,posterior region,"Three dimensional compartment along the anteroposterior axis that is closer to the tail rather than the head, from the anterior boundary of the pharyngeal pouch to the tip of the tail."
http://purl.obolibrary.org/obo/BSPO_0000072,posterior region,Anatomical region posteriorly located on the body or body part.
http://purl.obolibrary.org/obo/PLANA_0000120,progenitor cell,A cycling neoblast and/or post-mitotic cell that is primed or irreversibly committed to a tissue-specific differentation program
http://purl.obolibrary.org/obo/RO_0002203,develops into,inverse of develops from
http://purl.obolibrary.org/obo/RO_0002203,develops_into,inverse of develops from
http://purl.obolibrary.org/obo/PLANA_0002118,epithelium,The avascular cellular layers that cover body surfaces and cavities and may form glands.
http://purl.obolibrary.org/obo/RO_0002013,has regulatory component activity,"A 'has regulatory component activity' B if A and B are GO molecular functions (GO_0003674), A has_component B and A is regulated by B."
http://purl.obolibrary.org/obo/GO_0016740,transferase activity,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
http://purl.obolibrary.org/obo/BSPO_0000035,postero-ventral region,Anatomical region that overlaps the posterior and ventral regions of a body or body part.
http://purl.obolibrary.org/obo/PLANA_0000482,dopaminergic neuron,A neuron that expresses the neurotransmitter dopamine.
http://purl.obolibrary.org/obo/PLANA_0004528,pharynx epithelium,Epithelia associated with the pharynx organ.
http://purl.obolibrary.org/obo/PLANA_0003244,meiotic G2 phase spermatocyte,spermatocyte undergoing meiotic G2 phase
http://purl.obolibrary.org/obo/GO_0009966,regulation of signal transduction,"Any process that modulates the frequency, rate or extent of signal transduction."
http://purl.obolibrary.org/obo/GO_0007139,meiotic telophase II,The cell cycle phase which follows anaphase II of meiosis and during which the chromosomes arrive at the poles of the cell and the division of the cytoplasm starts.
http://purl.obolibrary.org/obo/PLANA_0007512,mitochondrion,"A spherical to rod shaped organelle that generates the majority of a cell's supply of ATP via cellular respiration. Mitochondria have their own genome and consist of outer and inner membranes, the latter folds inward to form cristae. This folding increases the surface area of the membrane and thus increases the space available to produce ATP. The inner and outer membranes are separated by an intermembrane space, and the inner membrane encloses the matrix."
http://purl.obolibrary.org/obo/PLANA_0000065,flame cell,"Terminal structure of the protonephridia unit, capping the proximal tubules. Flame cells are defined by the filtration weir‚ or filtration diaphragm, which consists of closely apposed strands of cytoplasm surrounding a central cilia bundle, and by numerous microvilli between weir and cilia. Positive for acetyated tubulin."
http://purl.obolibrary.org/obo/PLANA_0003207,G1 phase spermatogonial stem cell,spermatogonial stem cell undergoing mitotic G1 phase
http://purl.obolibrary.org/obo/PLANA_0002113,post-pharyngeal region,Posterior to the pharynx.
http://purl.obolibrary.org/obo/BSPO_0000030,postero-dorsal region,Anatomical region that overlaps the posterior and dorsal regions of the body or body part.
http://purl.obolibrary.org/obo/RO_0002180,has component,"w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type."
http://purl.obolibrary.org/obo/RO_0002180,has component,"w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type."
http://purl.obolibrary.org/obo/PLANA_0002095,somatic cell,"One of the cells of the body that compose the tissues, organs, and parts of that individual other than the germ cells."
http://purl.obolibrary.org/obo/PLANA_0000218,male primordial germ cell,Cells coexpressing piwi-1 and nanos that are required for male gonad formation. Primordial germ cells are present in both asexual adults and sexual hermaphrodites. This term may be redundant with spermatogonial stem cell.
http://purl.obolibrary.org/obo/PLANA_0000028,Category 2 cell,"Post-mitotic, mesenchymally located epidermal progenitors downstream of the zeta neoblasts."
http://purl.obolibrary.org/obo/UBERON_0000476,acellular anatomical structure,Anatomical structure that consists of cell parts and cell substances and together does not constitute a cell or a tissue.
http://purl.obolibrary.org/obo/GO_0007134,meiotic telophase I,The cell cycle phase which follows anaphase I of meiosis and during which the chromosomes arrive at the poles of the cell and the division of the cytoplasm starts.
http://purl.obolibrary.org/obo/RO_0002333,enabled by,inverse of enables
http://purl.obolibrary.org/obo/GO_0031324,negative regulation of cellular metabolic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."
http://purl.obolibrary.org/obo/PLANA_0000060,embryonic wall,The parenchymal space between the gut cavity and the primitive ectoderm containing undifferentiated blastomeres in Stage 3-5 embryos.
http://purl.obolibrary.org/obo/PLANA_0003202,G2 phase neoblast,neoblast undergoing mitotic G2 phase
http://purl.obolibrary.org/obo/GO_0048518,positive regulation of biological process,"Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."
http://purl.obolibrary.org/obo/GO_0044092,negative regulation of molecular function,"Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."
http://purl.obolibrary.org/obo/PLANA_0002090,reproductive structure,Any anatomical structure that is part of the reproductive system.
http://purl.obolibrary.org/obo/GO_0140013,meiotic nuclear division,One of the two nuclear divisions that occur as part of the meiotic cell cycle.
http://purl.obolibrary.org/obo/CARO_0000000,anatomical entity,Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.
http://purl.obolibrary.org/obo/UBERON_0001062,anatomical entity,Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.
http://purl.obolibrary.org/obo/CARO_0000000,anatomical entity,Biological entity that is either an individual member of a biological species or constitutes the structural organization of an individual member of a biological species.
http://purl.obolibrary.org/obo/PLANA_0000023,embryonic pharynx,"An innervated, muscular pump that ingests yolk cells into the gut cavity. The embryonic pharynx is an extraembryonic tissue that forms during Stage 2, functions during Stages 3-5, and degenerates during Stages 6-7."
http://purl.obolibrary.org/obo/GO_0050896,response to stimulus,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."
http://purl.obolibrary.org/obo/PLANA_0002053,lumen,The cavity or channel within a tube or tubular organ such as a blood vessel or the intestine.
http://purl.obolibrary.org/obo/RO_0004035,"acts upstream of, negative effect","c 'acts upstream of, negative effect' p if c is enables f, and f is causally upstream of p, and the direction of f is negative"
http://purl.obolibrary.org/obo/GO_1900122,positive regulation of receptor binding,"Any process that activates or increases the frequency, rate or extent of a protein or other molecule binding to a receptor."
http://purl.obolibrary.org/obo/PLANA_0000538,axon tract,"A group of axons linking two or more neuropils and having a common origin, termination"
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t
http://purl.obolibrary.org/obo/BFO_0000066,occurs in,b occurs_in c =def b is a process and c is a material entity or immaterial entity& there exists a spatiotemporal region r and b occupies_spatiotemporal_region r.& forall(t) if b exists_at t then c exists_at t & there exist spatial regions s and s’ where & b spatially_projects_onto s at t& c is occupies_spatial_region s’ at t& s is a proper_continuant_part_of s’ at t
http://purl.obolibrary.org/obo/PLANA_0002016,cephalic ganglia neuron,A central nervous system neuron located within the planarian brain.
http://purl.obolibrary.org/obo/PLANA_0000533,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."
http://purl.obolibrary.org/obo/PLANA_0003105,dorsal epidermis cell,cell which is part of the dorsal epidermis
http://purl.obolibrary.org/obo/PLANA_0002011,brain visual center,Region of the cephalic ganglia innervated by the optic nerve (posterior-projecting photoreceptor neuron fasiculated axons).
http://purl.obolibrary.org/obo/RO_0003000,produces,"a produces b if some process that occurs_in a has_output b, where a and b are material entities. Examples: hybridoma cell line produces monoclonal antibody reagent; chondroblast produces avascular GAG-rich matrix."
http://purl.obolibrary.org/obo/RO_0002598,capable of positively regulating,"Holds between c and p if and only if c is capable of some activity a, and a positively regulates p."
http://purl.obolibrary.org/obo/BSPO_0000068,ventral side,An anatomical region that is the entire part of an anatomical structure ventral to a horizontal plane and bounded on one side by the same horizontal plane.
http://purl.obolibrary.org/obo/PLANA_0000116,embryo,"Anatomical entity that comprises the organism in the early stages of growth and differentiation that are characterized by cleavage, the laying down of fundamental tissues, and the formation of primitive organs and organ systems. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant."
http://purl.obolibrary.org/obo/PLANA_0000478,pharynx musculature,The total musculature within the pharynx.
http://purl.obolibrary.org/obo/PLANA_0000098,zygote,Diploid cell resulting from the fusion of male and female gametes at fertilization. [The_Dictionary_of_Cell_and_Molecular_Biology:Third_Edition ].
http://purl.obolibrary.org/obo/PLANA_0003100,testis cell,cell which is part of the testis
http://purl.obolibrary.org/obo/GO_0051716,cellular response to stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."
http://purl.obolibrary.org/obo/BSPO_0000063,dorsal side,An anatomical region that is the entire part of an anatomical structure dorsal to a horizontal plane and bounded on one side by the same transverse plane.
http://purl.obolibrary.org/obo/PLANA_0002109,X1 cell,"A sorted cell population enriched for irradiation-sensitive, cycling cells (4n cells, with high levels of Hoescht 33342 staining) with scant cytoplasm (low levels of calcein-AM staining). X1 cells are enriched for cycling neoblasts."
http://purl.obolibrary.org/obo/PLANA_0000111,proximal tubule epithelial cell,Ciliated epithelial cells that assemble into proximal tubules.
http://purl.obolibrary.org/obo/GO_0010948,negative regulation of cell cycle process,"Any process that decreases the rate, frequency or extent of a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events."
http://purl.obolibrary.org/obo/GO_0050794,regulation of cellular process,"Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."
http://purl.obolibrary.org/obo/PLANA_0007540,viscid gland cell,A specialized insunk epithelial cell that is part of the adhesion glands which is responsible for production and excretion of the viscid substance allowing adherence to a substrate.
http://purl.obolibrary.org/obo/BSPO_0000026,antero-dorsal region,Anatomical region that overlaps the anterior and dorsal regions of a body or body part.
http://purl.obolibrary.org/obo/PLANA_0000473,pharynx outer circular muscle cell,Pharynx muscle fibers thar run circumferentially about the pharynx and lie just beneath the outer longitudinal pharynx muscles.
http://purl.obolibrary.org/obo/PLANA_0004519,embryonic pharynx neuron,A neuronal cell innervating the embryonic pharynx. Four neurons innervate the radial muscle fibers that ring the oral opening.
http://purl.obolibrary.org/obo/PLANA_0000093,tertiary gut branch,Gut branches originating from and connected to the secondary gut branches.
http://purl.obolibrary.org/obo/GO_0032501,multicellular organismal process,"Any biological process, occurring at the level of a multicellular organism, pertinent to its function."
http://purl.obolibrary.org/obo/PLANA_0003235,G1 phase germ cell cyst,germ cell cyst undergoing mitotic G1 phase
http://purl.obolibrary.org/obo/PLANA_0002141,sperm duct epithelial surface,Epithelial surface lining the sperm duct.
http://purl.obolibrary.org/obo/BSPO_0000198,oral-aboral axis,An axis that extends from the oral opening to the furthest point in an organism that is directly opposite.
http://purl.obolibrary.org/obo/PLANA_0004511,oral-aboral axis,Axis that runs from the oral pole and to the aboral pole of the spherical embryo (Stage 3 through early Stage 6). The oral pole is centered around the embryonic pharynx; the aboral pole is located opposite the embryonic pharynx.
http://purl.obolibrary.org/obo/GO_0098764,meiosis I cell cycle phase,A meiotic cell cycle phase prior to a during which some part of meiosis I nuclear division or the proceeding cytokinesis occurs.
http://purl.obolibrary.org/obo/GO_0051331,meiotic G2 phase,The cell cycle 'gap' phase which is the interval between the completion of DNA synthesis and the beginning of DNA segregation by meiosis.
http://purl.obolibrary.org/obo/PLANA_0007503,sagittal plane,Anatomical plane which divides the body into right and left parts. This plane passes through the midline at the midline but does not always the midline.
http://purl.obolibrary.org/obo/BSPO_0000417,sagittal plane,"Anatomical plane that divides a bilateral body into left and right parts, not necessarily of even size."
http://purl.obolibrary.org/obo/RO_0002329,part of structure that is capable of,"this relation holds between c and p when c is part of some c', and c' is capable of p."
http://purl.obolibrary.org/obo/RO_0002329,part of structure that is capable of,"this relation holds between c and p when c is part of some c', and c' is capable of p."
http://purl.obolibrary.org/obo/GO_0044848,biological phase,A distinct period or stage in a biological process or cycle.
http://purl.obolibrary.org/obo/GO_0048583,regulation of response to stimulus,"Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."
http://purl.obolibrary.org/obo/PLANA_0000056,ectolecithal embryo,"Turbellarian (freshwater flatworm) embryos that undergo a modified form of cleavage due to separation of oocyte and yolk. Yolk is not contained within oocytes, and is produced by somatic vitellogenic gland cells."
http://purl.obolibrary.org/obo/PLANA_0002104,tail tip,The posterior-medial region of the tail margin.
http://purl.obolibrary.org/obo/GO_0010563,negative regulation of phosphorus metabolic process,"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."
http://purl.obolibrary.org/obo/PLANA_0003610,wedge fragment,A piece of tissue removed from the lateral margin at any given point that extendes interiorly to more medial structures.
http://purl.obolibrary.org/obo/PLANA_0004514,embryonic gut cell surface,The surface of phagocytic embryonic gut cells in contact with ingested yolk cells.
http://purl.obolibrary.org/obo/PLANA_0002086,primary gut branch,"The largest branch of the triclad intestine. It is comprised of the gastrodermis, a columnar epithelium, surrounded by basal lamina and visceral musculature."
http://purl.obolibrary.org/obo/PLANA_0003230,G2 phase oogonial cell,oogonial cell undergoing mitotic G2 phase
http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage,A spatiotemporal region encompassing some part of the life cycle of an organism.
http://purl.obolibrary.org/obo/PLANA_0000019,muscle progenitor cell,Progenitor neoblasts implicated in the maintenance and regeneration of muscle fibers.
http://purl.obolibrary.org/obo/PLANA_0000431,organ,Anatomical structure that performs a specific function or group of functions.
http://purl.obolibrary.org/obo/GO_0045937,positive regulation of phosphate metabolic process,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."
http://purl.obolibrary.org/obo/RO_0002324,developmentally related to,A relationship that holds between entities participating in some developmental process (GO:0032502)
http://purl.obolibrary.org/obo/PLANA_0000241,pharynx longitudinal muscle cell,Pharynx muscle fibers running anteroposterior (proximal to distal).
http://purl.obolibrary.org/obo/PLANA_0002049,intercellular junction,A cell junction that forms a connection between two or more cells in a multicellular organism; excludes direct cytoplasmic junctions such as ring canals.
http://purl.obolibrary.org/obo/RO_0002496,existence starts during or after,x existence starts during or after y if and only if the time point at which x starts is after or equivalent to the time point at which y starts. Formally: x existence starts during or after y iff α (x) >= α (y).
http://purl.obolibrary.org/obo/GO_0051239,regulation of multicellular organismal process,"Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."
http://purl.obolibrary.org/obo/PLANA_0002081,postsynaptic cell,A specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft). Neurotransmitters cross the synaptic cleft and transmit the signal to the postsynaptic membrane.
http://purl.obolibrary.org/obo/GO_0043902,positive regulation of multi-organism process,"Any process that activates or increases the frequency, rate or extent of a multi-organism process, a process in which an organism has an effect on another organism of the same or different species."
http://purl.obolibrary.org/obo/PLANA_0000204,ovary,"A gonad containing female germline stem cells which fuel oocyte production. Two ovaries are located ventally, underneath the body wall musculature, immediately posterior to the cephalic ganglia (brain) and adjacent to the ventral nerve cords. The neoblast compartment, including piwi-1+, nanos+ primordial germ cells, fuel formation of the ovaries during juvenile development."
http://purl.obolibrary.org/obo/PLANA_0000014,zeta neoblast,"An abundant neoblast subclass consisting of p53+, zfp1+ progenitors required for maintenance and regeneration of epidermal cell type(s)."
http://purl.obolibrary.org/obo/PLANA_0000566,enteric neuron,A neruon whose cell body is within an autonomic ganglion.
http://purl.obolibrary.org/obo/GO_0030546,signaling receptor activator activity,The function of interacting (directly or indirectly) with receptors such that the proportion of receptors in the active form is increased.
http://purl.obolibrary.org/obo/PLANA_0002044,germline stem cell,Stem cell that is the precursor of gametes.
http://purl.obolibrary.org/obo/PLANA_0000529,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
http://purl.obolibrary.org/obo/GO_0009892,negative regulation of metabolic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."
http://purl.obolibrary.org/obo/PLANA_0002007,auricle,"A sense organ located along the dorsolateral head margin. The auricular groove is highly innervtated by ciliated sensory neurons, and has an altered epidermis devoid of rhabdites and gland cells."
http://purl.obolibrary.org/obo/GO_0005575,cellular_component,"A location, relative to cellular compartments and structures, occupied by a macromolecular machine when it carries out a molecular function. There are two ways in which the gene ontology describes locations of gene products: (1) relative to cellular structures (e.g., cytoplasmic side of plasma membrane) or compartments (e.g., mitochondrion), and (2) the stable macromolecular complexes of which they are parts (e.g., the ribosome)."
http://purl.obolibrary.org/obo/GO_0044421,obsolete extracellular region part,"OBSOLETE. Any constituent part of the extracellular region, the space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers constituent parts of the host cell environment outside an intracellular parasite."
http://purl.obolibrary.org/obo/GO_1903047,mitotic cell cycle process,A process that is part of the mitotic cell cycle.
http://purl.obolibrary.org/obo/PLANA_0000561,neuron associated cell (sensu Nematoda and Protostomia),Cells that are in close proximity to neurons.
http://purl.obolibrary.org/obo/RO_0002264,acts upstream of or within,"c acts upstream of or within p if c is enables f, and f is causally upstream of or within p. c is a material entity and p is an process."
http://purl.obolibrary.org/obo/BSPO_0000096,anterior to,"x anterior to y iff x is further along the antero-posterior axis than y, towards the head. An antero-posterior axis is an axis that extends through an organism from head end to opposite end of body or tail."
http://purl.obolibrary.org/obo/PLANA_0000524,organelle membrane,A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle.
http://purl.obolibrary.org/obo/PLANA_0002002,adhesive papilla,"Finger-like processes at the terminal pore of adhesive gland cells around the marginal adhesive zone. They protrude past the epidermis and are longer microvilli, and shorter than cilia."
http://purl.obolibrary.org/obo/GO_0051781,positive regulation of cell division,"Any process that activates or increases the frequency, rate or extent of cell division."
http://purl.obolibrary.org/obo/BFO_0000015,process,"An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t."
http://purl.obolibrary.org/obo/PLANA_0000107,yolk cell,"An extraembryonic cell, produced by somatic vitellogenic glands in adult hermaphrodites, that provides nutrition to the developing embryo."
http://purl.obolibrary.org/obo/PLANA_0007536,specific_to,Restricted to domain
http://purl.obolibrary.org/obo/GO_0051174,regulation of phosphorus metabolic process,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."
